# H2 partition function from PARTFNH2 (Kurucz 1985; modified at >4000K to agree with Barklem & Collet 2016)
# T(K)    Q(H2)
     100     0.667000
     200      1.34000
     300      1.94100
     400      2.53401
     500      3.12803
     600      3.72407
     700      4.32416
     800      4.92732
     900      5.53561
    1000      6.15106
    1100      6.77477
    1200      7.40882
    1300      8.05433
    1400      8.71445
    1500      9.39034
    1600      10.0832
    1700      10.7953
    1800      11.5278
    1900      12.2812
    2000      13.0576
    2100      13.8586
    2200      14.6833
    2300      15.5354
    2400      16.4140
    2500      17.3208
    2600      18.2570
    2700      19.2240
    2800      20.2212
    2900      21.2498
    3000      22.3111
    3100      23.4062
    3200      24.5343
    3300      25.6964
    3400      26.8934
    3500      28.1253
    3600      29.3929
    3700      30.6961
    3800      32.0345
    3900      33.4100
    4000      34.8212
    4100      36.2690
    4200      37.7529
    4300      39.2747
    4400      40.8321
    4500      42.4280
    4600      44.0610
    4700      45.7330
    4800      47.4418
    4900      49.1902
    5000      50.9761
    5100      52.8024
    5200      54.6680
    5300      56.5739
    5400      58.5189
    5500      60.5061
    5600      62.5334
    5700      64.6029
    5800      66.7144
    5900      68.8681
    6000      71.0639
    6100      73.3039
    6200      75.5861
    6300      77.9124
    6400      80.2830
    6500      82.6969
    6600      85.1560
    6700      87.6595
    6800      90.2073
    6900      92.8016
    7000      95.4402
    7100      98.1243
    7200      100.854
    7300      103.629
    7400      106.449
    7500      109.316
    7600      112.227
    7700      115.184
    7800      118.187
    7900      121.236
    8000      124.329
    8100      127.467
    8200      130.651
    8300      133.880
    8400      137.153
    8500      140.471
    8600      143.832
    8700      147.239
    8800      150.688
    8900      154.180
    9000      157.716
    9100      161.295
    9200      164.916
    9300      168.579
    9400      172.284
    9500      176.030
    9600      179.816
    9700      183.644
    9800      187.511
    9900      191.418
   10000      195.364
   10100      199.348
   10200      203.371
   10300      207.431
   10400      211.529
   10500      215.664
   10600      219.835
   10700      224.041
   10800      228.284
   10900      232.560
   11000      236.872
   11100      241.217
   11200      245.595
   11300      250.004
   11400      254.448
   11500      258.922
   11600      263.428
   11700      267.964
   11800      272.532
   11900      277.125
   12000      281.750
   12100      286.404
   12200      291.086
   12300      295.795
   12400      300.533
   12500      305.295
   12600      310.084
   12700      314.899
   12800      319.739
   12900      324.602
   13000      329.490
   13100      334.402
   13200      339.337
   13300      344.295
   13400      349.275
   13500      354.276
   13600      359.300
   13700      364.343
   13800      369.407
   13900      374.492
   14000      379.596
   14100      384.718
   14200      389.860
   14300      395.020
   14400      400.199
   14500      405.394
   14600      410.607
   14700      415.837
   14800      421.083
   14900      426.346
   15000      431.623
   15100      436.917
   15200      442.225
   15300      447.549
   15400      452.887
   15500      458.238
   15600      463.603
   15700      468.982
   15800      474.375
   15900      479.780
   16000      485.199
   16100      490.629
   16200      496.071
   16300      501.526
   16400      506.993
   16500      512.470
   16600      517.958
   16700      523.458
   16800      528.967
   16900      534.488
   17000      540.019
   17100      545.561
   17200      551.112
   17300      556.671
   17400      562.241
   17500      567.819
   17600      573.410
   17700      579.009
   17800      584.614
   17900      590.229
   18000      595.853
   18100      601.485
   18200      607.127
   18300      612.775
   18400      618.433
   18500      624.098
   18600      629.769
   18700      635.451
   18800      641.138
   18900      646.836
   19000      652.536
   19100      658.248
   19200      663.965
   19300      669.690
   19400      675.423
   19500      681.160
   19600      686.906
   19700      692.660
   19800      698.420
   19900      704.189
   20000      709.963
