# Stark profile correction tables for STARK_PROFILE (formerly SOFBET)
# S(beta,P) quasistatic ion microfield profiles for hydrogen lines
#
# Seven profile sets (INDX 1-7):
#   1: Lyman alpha  (N=1, M=2)
#   2: Lyman beta   (N=1, M=3)
#   3: Balmer alpha (N=2, M=3) = H-alpha
#   4: Balmer beta  (N=2, M=4) = H-beta
#   5: Paschen alpha(N=3, M=4)
#   6: Paschen beta (N=3, M=5)
#   7: Balmer 18    (N=2, M=18) — generic high-n template
#
# PROPBM(5,15,7): correction table indexed by (P_index, beta_index, profile)
#   P_index 1-5: P = 0.0, 0.2, 0.4, 0.6, 0.8
#   beta_index 1-15: beta = 1.0, 1.259, ..., 25.12 (log-spaced)
# C(5,7), D(5,7): asymptotic correction coefficients
#
# Format: 7 blocks of 75 PROPBM values (5 per line), then C (5 per line), then D (5 per line)
# --- Profile 1: Lyman alpha ---
# PROPBM block 1 (75 values: 15 beta rows x 5 P columns)
       980         967         948         918         873
       968         949         921         879         821
       950         922         883         830         764
       922         881         830         770         706
       877         823         763         706         660
       806         741         682         640         625
       691         628         588         577         599
       511         482         484         514         568
       265         318         382         455         531
       013         167         292         394         478
       166         056         216         332         415
       251         035         122         237         320
       221         059         068         168         247
       160         055         037         118         189
       110         043         022         085         147
# C block 1
   -18.396      84.674     -96.273       3.927      55.191
# D block 1
    11.801       9.079         651     -11.071     -26.545
# --- Profile 2: Lyman beta ---
# PROPBM block 2 (75 values: 15 beta rows x 5 P columns)
       242         060         379         671         894
       022         314         569         746         818
       273         473         605         651         607
       432         484         489         442         343
       434         366         294         204         091
       304         184         079         025         135
       167         035         082         189         290
       085         061         183         287         374
       032         127         249         344         418
       024         167         275         357         420
       061         170         257         327         384
       047         124         192         252         306
       043         092         142         190         238
       038         070         107         146         187
       030         049         075         106         140
# C block 2
    95.740      18.489      14.902      24.466      42.456
# D block 2
    -6.665      -7.136     -10.605     -15.882     -23.632
# --- Profile 3: Balmer alpha ---
# PROPBM block 3 (75 values: 15 beta rows x 5 P columns)
       484         336         206         111         058
       364         264         192         154         144
       299         268         250         244         246
       319         333         337         336         337
       397         414         415         413         420
       456         455         451         456         478
       446         441         446         469         512
       358         381         415         463         522
       214         288         360         432         503
       063         196         304         394         468
       063         108         237         334         409
       151         019         148         245         319
       149         016         091         177         246
       115         023         056         126         189
       078         021         036         091         145
# C block 3
   -25.088     145.882     -50.165       7.902      51.003
# D block 3
     7.872       5.592      -2.716     -12.180     -25.661
# --- Profile 4: Balmer beta ---
# PROPBM block 4 (75 values: 15 beta rows x 5 P columns)
       082         163         417         649         829
       096         316         515         660         729
       242         393         505         556         534
       320         373         394         369         290
       308         274         226         152         048
       232         141         052         046         154
       148         020         094         200         299
       083         070         195         299         385
       031         130         253         348         422
       023         167         276         359         423
       053         165         254         326         384
       038         119         190         251         306
       034         088         140         190         239
       032         066         103         144         186
       027         048         075         106         142
# C block 4
    93.783      10.066       9.224      20.685      40.136
# D block 4
    -5.918      -6.501     -10.130     -15.588     -23.570
# --- Profile 5: Paschen alpha ---
# PROPBM block 5 (75 values: 15 beta rows x 5 P columns)
       819         759         689         612         529
       770         707         638         567         498
       721         659         595         537         488
       671         617         566         524         497
       622         582         547         523         516
       570         545         526         521         537
       503         495         496         514         551
       397         418         448         492         547
       246         315         384         453         522
       080         210         316         406         481
       068         107         239         340         418
       177         006         143         246         324
       184         035         082         174         249
       146         042         046         123         190
       103         036         027         088         146
# C block 5
   -19.819      94.981     -79.606       3.159      52.106
# D block 5
    10.938       8.028      -1.267     -11.375     -26.047
# --- Profile 6: Paschen beta ---
# PROPBM block 6 (75 values: 15 beta rows x 5 P columns)
       073         169         415         636         809
       102         311         499         639         710
       232         372         479         531         514
       294         349         374         354         279
       278         253         212         142         040
       215         130         044         051         158
       141         015         097         202         300
       080         072         196         299         385
       029         130         252         347         421
       022         166         275         359         423
       050         164         253         325         384
       035         118         189         252         306
       032         087         139         190         240
       029         064         102         143         185
       025         046         074         106         142
# C block 6
   111.107      11.910       9.857      21.371      41.006
# D block 6
    -5.899      -6.381     -10.044     -15.574     -23.644
# --- Profile 7: Balmer 18 (generic) ---
# PROPBM block 7 (75 values: 15 beta rows x 5 P columns)
       005         128         260         389         504
       004         109         220         318         389
       007         079         162         222         244
       018         041         089         106         080
       026         003         003         023         086
       025         048         087         148         234
       008         085         165         251         343
       018         111         223         321         407
       032         130         255         354         431
       014         148         269         359         427
       005         140         243         323         386
       005         095         178         248         307
       002         068         129         187         241
       007         049         094         139         186
       010         036         067         103         143
# C block 7
   511.318       1.532       4.044      19.266      41.812
# D block 7
    -6.070      -4.528      -8.759     -14.984     -23.956
